"","ID_point","ID_carre","nb_sp","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","nb_sp_carre","prop_sp","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"36","010914P06","010914",19,-0.176997554491112,-0.170599932490684,-0.420361727329727,"Agriculture","Agriculture","0","0","1","1",1.06522272762937,1.4691761593939,206.764137472023,953.874999995111,45092.3946934659,43,0.441860465116279,5.33157871111632,"1","3"
"37","010914P07","010914",10,-0.173886777084313,-0.208903992196312,-0.571505332473888,"Agriculture","Agriculture","0","0","0","1",1.02581323243099,1.57399549291795,192.877792389989,864.625000027008,8361.17000007658,43,0.232558139534884,5.2620567882972,"1","2"
"38","010914P08","010914",26,-0.158332890050321,-0.339389622977455,-0.91723965429498,"Urban","Urban","0","0","1","1",1.02581323243099,1.69536540259266,14.9948755235146,163109.984187934,262216.767666987,43,0.604651162790698,2.70770851096709,"4","4"
"39","010914P09","010914",14,-0.0494556808123778,0.849164327829598,-0.994125752176566,"Agriculture","Agriculture","0","0","1","1",0.986403737232568,1.74467157326482,145.612321963307,1630.50999997323,16670.4650000804,43,0.325581395348837,4.98094776105063,"1","2"
"40","010914P10","010914",15,-0.0494556808123778,1.25496791871023,-0.73412113624898,"Forest and natural","Forest and natural","0","1","0","1",0.986403737232568,1.74467157326482,233.143940139066,864.625000027008,1843.53500008397,43,0.348837209302326,5.45165603166228,"1","1"
"41","010935P01","010935",15,-0.0774526774735632,-0.8351274439598,0.108397423904461,"Agriculture","Agriculture","1","0","0","1",0.907585498509392,0.262720728165915,228.430915344235,1241.09624232529,16046.8500001425,35,0.428571428571429,5.43123382477018,"1","2"
"42","010935P02","010935",12,-0.08367423228716,-1.00735371622571,-0.211393658639209,"Agriculture","Agriculture","0","0","0","1",0.946994993707812,0.22651671112264,183.193068936022,11523.8522701112,14482.7700001215,35,0.342857142857143,5.21054061820568,"3","2"
"43","010935P03","010935",15,-0.0743419000667648,-0.744283507380383,0.281719701276281,"Agriculture","Agriculture","0","0","0","1",0.907585498509392,0.268237446583267,323.244978880627,0,13507.7998206063,35,0.428571428571429,5.77841048429274,"0","2"
"44","010935P04","010935",15,-0.0867850096939584,0.559702958964209,-0.440813614147019,"Forest and natural","Agriculture","0","1","0","1",0.868176003311009,0.272374880171633,329.441728972243,0,6723.08999988623,35,0.428571428571429,5.7973994914816,"0","2"
"45","010935P05","010935",5,-0.0805634548803616,-0.0587645625065165,-0.236631128407519,"Agriculture","Agriculture","0","0","0","1",0.868176003311009,0.232033429539992,128.516461757632,4252.56000003824,30800.5799998814,35,0.142857142857143,4.85605700319355,"2","3"
